Vardas              Pavarde             Galutinis (Vid.)    
Vardas8837          Pavarde8837         5.80                
Vardas8839          Pavarde8839         6.60                
Vardas8845          Pavarde8845         8.00                
Vardas8847          Pavarde8847         7.00                
Vardas8848          Pavarde8848         8.00                
Vardas8850          Pavarde8850         6.40                
Vardas8851          Pavarde8851         8.00                
Vardas8852          Pavarde8852         7.60                
Vardas8853          Pavarde8853         7.80                
Vardas8855          Pavarde8855         5.80                
Vardas8856          Pavarde8856         6.20                
Vardas8857          Pavarde8857         7.20                
Vardas8858          Pavarde8858         7.40                
Vardas8860          Pavarde8860         5.20                
Vardas8862          Pavarde8862         6.80                
Vardas8864          Pavarde8864         8.40                
Vardas8866          Pavarde8866         7.60                
Vardas8867          Pavarde8867         6.00                
Vardas8868          Pavarde8868         6.40                
Vardas8872          Pavarde8872         6.20                
Vardas8873          Pavarde8873         7.80                
